"","variety","price","winery","taster_name","title"
"2430","Cabernet Franc",14,"Humberto Canale","Michael Schachner","Humberto Canale 2015 Estate Cabernet Franc (Patagonia)"
"2431","Nerello Mascalese",19,"Di Giovanna","Unknown","Di Giovanna 2009 Nerello Mascalese (Sicilia)"
"2432","Portuguese Sparkling",NA,"Murganheira","Roger Voss","Murganheira 2005 Bruto Sparkling (Vinho Espumante de Qualidade)"
"2433","Moscato",13,"Allure","Unknown","Allure NV Moscato (California)"
"2434","Dolcetto",25,"Animale","Paul Gregutt","Animale 2011 Dolcetto (Columbia Valley (WA))"
"2435","Assyrtiko",28,"Argyros","Susan Kostrzewa","Argyros 2013 Assyrtiko (Santorini)"
"2436","Xinomavro",17,"Thymiopoulos","Susan Kostrzewa","Thymiopoulos 2012 Young Vines Xinomavro (Naoussa)"
"2437","Cabernet Franc",24,"Va Piano","Paul Gregutt","Va Piano 2013 Rosé of Cabernet Franc (Columbia Valley (WA))"
"2438","Tinto del Pais",22,"Finca La Mata","Michael Schachner","Finca La Mata 2011  Ribera del Duero"
"2439","Meritage",60,"Bonneau","Unknown","Bonneau 2005 Epos Meritage (Napa Valley)"
"2440","Red Blend",56,"Pago de Larrainzar","Michael Schachner","Pago de Larrainzar 2005 Red (Navarra)"
"2441","Tempranillo Blend",19,"Pago de los Capellanes","Michael Schachner","Pago de los Capellanes 2006 Joven Roble  (Ribera del Duero)"
"2442","Merlot-Cabernet Sauvignon",8,"Beau Joubert","Susan Kostrzewa","Beau Joubert 2006 Oak Lane Merlot-Cabernet Sauvignon (Stellenbosch)"
"2443","Cercial",50,"Campolargo","Roger Voss","Campolargo 2014 Campolargo Branco White (Bairrada)"
"2444","G-S-M",25,"DENO","Matt Kettmann","DENO 2008 Paso Rouge Alto Pomar Vineyard Estate G-S-M (Paso Robles)"
"2445","Gamay",28,"Domaine de la Bonne Tonne","Roger Voss","Domaine de la Bonne Tonne 2014 Côte de Py  (Morgon)"
"2446","Nebbiolo",95,"Parusso","Kerin O’Keefe","Parusso 2013 Bussia  (Barolo)"
"2447","Weissburgunder",19,"Stadlmann","Anne Krebiehl MW","Stadlmann 2016 Anning Weissburgunder (Thermenregion)"
"2448","Blaufränkisch",22,"Stift Klosterneuburg","Anne Krebiehl MW","Stift Klosterneuburg 2015 Blaufränkisch (Thermenregion)"
"2449","Marsanne",75,"Ferraton Pere et Fils","Joe Czerwinski","Ferraton Pere et Fils 2014 Les Miaux Marsanne (Hermitage)"
"2450","Tempranillo",29,"Sonsierra","Michael Schachner","Sonsierra 2010 Gran Reserva  (Rioja)"
"2451","Roter Veltliner",45,"Leth","Anne Krebiehl MW","Leth 2013 Scheiben Roter Veltliner (Wagram-Donauland)"
"2452","Grüner Veltliner",73,"Markus Huber","Anne Krebiehl MW","Markus Huber 2013 Berg Reserve Grüner Veltliner (Traisental)"
"2453","Viognier",41,"Darioush","Virginie Boone","Darioush 2013 Viognier (Napa Valley)"
"2454","Grüner Veltliner",60,"Dürnberg","Anne Krebiehl MW","Dürnberg 2013 Endlos Reserve Grüner Veltliner (Niederösterreich)"
"2455","Gewürztraminer",35,"Gordon Estate","Sean P. Sullivan","Gordon Estate 2012 Estate Grown Late Harvest Gewürztraminer (Columbia Valley (WA))"
"2456","Nebbiolo",99,"Mascarello Giuseppe e Figlio","Kerin O’Keefe","Mascarello Giuseppe e Figlio 2009 Villero  (Barolo)"
"2457","Grüner Veltliner",75,"Alzinger","Anne Krebiehl MW","Alzinger 2013 Steinertal Smaragd Grüner Veltliner (Wachau)"
"2458","Grüner Veltliner",33,"Anton Bauer","Anne Krebiehl MW","Anton Bauer 2013 Spiegel Grüner Veltliner (Wagram)"
"2459","Zweigelt",52,"Arndorfer","Anne Krebiehl MW","Arndorfer 2012 Die Leidenschaft Zweigelt (Niederösterreich)"
"2460","Riesling",60,"Jurtschitsch","Anne Krebiehl MW","Jurtschitsch 2013 Heiligenstein Alte Reben Reserve Riesling (Kamptal)"
"2461","Dolcetto",24,"Walla Walla Vintners","Sean P. Sullivan","Walla Walla Vintners 2012 Dolcetto (Walla Walla Valley (WA))"
"2462","Shiraz-Cabernet Sauvignon",19,"Flinders Run","Unknown","Flinders Run 2008 Little Flinders Shiraz-Cabernet Sauvignon (Southern Flinders Ranges)"
"2463","Verdelho",14,"Bleasdale","Joe Czerwinski","Bleasdale 2009 Potts' Catch Verdelho (Langhorne Creek)"
"2464","Fumé Blanc",10,"Ste. Chapelle","Paul Gregutt","Ste. Chapelle 2000 Fumé Blanc (Idaho)"
"2465","Shiraz",21,"Kangarilla Road","Joe Czerwinski","Kangarilla Road 2000 Shiraz (McLaren Vale)"
"2466","Shiraz",34,"Hollick","Joe Czerwinski","Hollick 1998 Wilgha Shiraz (Coonawarra)"
"2467","Shiraz-Cabernet Sauvignon",17,"Hollick","Joe Czerwinski","Hollick 1999 Shiraz-Cabernet Sauvignon (Limestone Coast)"
"2468","Tempranillo Blend",7,"Mayoral","Unknown","Mayoral 2000 Cosecha Red (Jumilla)"
"2469","Gewürztraminer",7,"Columbia Winery","Paul Gregutt","Columbia Winery 2001 Gewürztraminer (Columbia Valley (WA))"
"2470","Cabernet Franc",17,"Yorkville Cellars","Unknown","Yorkville Cellars 1997 Cabernet Franc (Yorkville Highlands)"
"2471","Johannisberg Riesling",7,"Columbia Crest","Paul Gregutt","Columbia Crest 2001 Johannisberg Riesling (Columbia Valley (WA))"
"2472","Albariño",13,"Condes de Albarei","Unknown","Condes de Albarei 2000 Albariño (Rías Baixas)"
"2473","Grenache",20,"Oliverhill","Joe Czerwinski","Oliverhill 2000 Bradey Block Grenache (McLaren Vale)"
"2474","Pinot Noir",68,"B Cellars","Virginie Boone","B Cellars 2013 Manzana Vineyard Pinot Noir (Russian River Valley)"
"2475","Bordeaux-style Red Blend",96,"Chimney Rock","Virginie Boone","Chimney Rock 2012 Elevage Estate Grown Red (Stags Leap District)"
"2476","Champagne Blend",150,"Joseph Perrier","Roger Voss","Joseph Perrier 2004 Cuvée Josephine Brut  (Champagne)"
"2477","Champagne Blend",286,"Ruinart","Roger Voss","Ruinart 2002 Dom Ruinart Brut Rosé  (Champagne)"
"2478","Sparkling Blend",67,"Maso Martis","Kerin O’Keefe","Maso Martis 2010 Dosaggiozero Riserva Sparkling (Trento)"
"2479","Champagne Blend",262,"Taittinger","Roger Voss","Taittinger 2006 Comtes de Champagne Brut Rosé  (Champagne)"
"2480","Malbec",90,"Viña Cobos","Michael Schachner","Viña Cobos 2012 Bramare Marchiori Vineyard Malbec (Luján de Cuyo)"
"2481","Chardonnay",140,"Pol Roger","Roger Voss","Pol Roger 2008 Blanc de Blancs Brut Chardonnay (Champagne)"
"2482","Sparkling Blend",90,"Ca' del Bosco","Kerin O’Keefe","Ca' del Bosco 2006 Cuvée Annamaria Clementi Sparkling (Franciacorta)"
"2483","Fernão Pires",NA,"Quinta do Casal Branco","Roger Voss","Quinta do Casal Branco 2013 Quartilho Fernão Pires (Tejo)"
"2484","Portuguese Sparkling",45,"Dão Sul","Roger Voss","Dão Sul 2010 Encontro Special Cuvée Brut Sparkling (Bairrada)"
"2485","Turbiana",13,"Vigneti Villabella","Kerin O’Keefe","Vigneti Villabella 2012 Ca' del Lago  (Lugana)"
"2486","Sparkling Blend",39,"Collection 35","Unknown","Collection 35 2012 Brut Sparkling (Sta. Rita Hills)"
"2487","Charbono",39,"Tofanelli Family","Virginie Boone","Tofanelli Family 2012 Estate Charbono (Napa Valley)"
"2488","G-S-M",21,"Angove","Joe Czerwinski","Angove 2013 Family Crest G-S-M (McLaren Vale)"
"2489","Petite Verdot",40,"Azamor","Roger Voss","Azamor 2011 Petite Verdot (Alentejano)"
"2490","Malbec-Cabernet Sauvignon",70,"Bodega Tacuil","Michael Schachner","Bodega Tacuil 2013 33 de Dávalos Malbec-Cabernet Sauvignon (Salta)"
"2491","Sémillon",18,"Fenestra","Jim Gordon","Fenestra 2013 Semillon (Livermore Valley)"
"2492","G-S-M",19,"Yalumba","Joe Czerwinski","Yalumba 2012 The Strapper Grenache-Shiraz-Mataro G-S-M (Barossa)"
"2493","Shiraz-Cabernet Sauvignon",13,"Wakefield","Joe Czerwinski","Wakefield 2005 Promised Land Shiraz-Cabernet Sauvignon (South Australia)"
"2494","Cinsault",22,"Syncline","Paul Gregutt","Syncline 2006 Cinsault (Horse Heaven Hills)"
"2495","Passerina",35,"Le Caniette","Unknown","Le Caniette 2000 Sibilla Appeninica Vin Santo Passerina (Marche)"
"2496","Vernaccia",7,"Guicciardini Strozzi","Kerin O’Keefe","Guicciardini Strozzi 2014  Vernaccia di San Gimignano"
"2497","Vernaccia",15,"Guicciardini Strozzi","Kerin O’Keefe","Guicciardini Strozzi 2014 Villa Cusona  (Vernaccia di San Gimignano)"
"2498","Provence white blend",20,"Château Paradis","Roger Voss","Château Paradis 2014 White (Coteaux d'Aix-en-Provence)"
"2499","Vernaccia",25,"Guidi 1929","Kerin O’Keefe","Guidi 1929 2012 Aurea Riserva  (Vernaccia di San Gimignano)"
"2500","Garganega",10,"Cantina di Soave","Unknown","Cantina di Soave 2010 Re Midas  (Soave)"
"2501","Semillon-Sauvignon Blanc",32,"Signorello","Unknown","Signorello 2009 SETA Semillon-Sauvignon Blanc (Napa Valley)"
"2502","Arneis",17,"Briceland","Virginie Boone","Briceland 2012 Spirit Canyon Vineyards Arneis (Mendocino County)"
"2503","Valdiguié",10,"J. Lohr","Unknown","J. Lohr 2011 Wildflower Valdiguié (Monterey County)"
"2504","Primitivo",35,"Wattle Creek","Virginie Boone","Wattle Creek 2010 Primitivo (Yorkville Highlands)"
"2505","Nebbiolo",14,"Cantine Lanzavecchia","Kerin O’Keefe","Cantine Lanzavecchia 2013 Cren del Gufo  (Nebbiolo d'Alba)"
"2506","Rhône-style Red Blend",31,"Dante Robere","Jim Gordon","Dante Robere 2012 Dante's Inferno Red (California)"
"2507","Colombard-Sauvignon Blanc",10,"Domaine de Ménard","Roger Voss","Domaine de Ménard 2013 Colombard-Sauvignon Blanc (Côtes de Gascogne)"
"2508","Red Blend",71,"Viña San Vicente","Michael Schachner","Viña San Vicente 2011 Lukai Red (Maule Valley)"
"2509","Portuguese Red",58,"Campolargo","Roger Voss","Campolargo 2008 Vinha da Costa Red (Bairrada)"
"2510","Syrah-Mourvèdre",55,"Brian Benson","Matt Kettmann","Brian Benson 2013 S&M Caliza Vineyard Syrah-Mourvèdre (Paso Robles)"
"2511","Chardonnay",113,"Olivier Leflaive","Roger Voss","Olivier Leflaive 2014 Charmes Premier Cru  (Meursault)"
"2512","Red Blend",77,"Masi","Kerin O’Keefe","Masi 2011 Costasera Riserva  (Amarone della Valpolicella Classico)"
"2513","Pinotage",275,"Kanonkop","Lauren Buzzeo","Kanonkop 2013 Estate Wine Black Label Pinotage (Simonsberg-Stellenbosch)"
"2514","Mourvèdre",38,"Anglim","Matt Kettmann","Anglim 2013 Hastings Ranch Vineyard Mourvèdre (Adelaida District)"
"2515","Syrah",105,"Craggy Range","Joe Czerwinski","Craggy Range 2014 Le Sol Gimblett Gravels Syrah (Hawke's Bay)"
"2516","Pinot Noir",106,"Domaine Henri Delagrange","Roger Voss","Domaine Henri Delagrange 2014 Champans Premier Cru  (Volnay)"
"2517","Dolcetto",75,"Grevino","Matt Kettmann","Grevino 2014 Estate Vineyards Dolcetto (Santa Maria Valley)"
"2518","Ribolla Gialla",45,"Miklus","Kerin O’Keefe","Miklus 2011 Natural Art Ribolla Gialla (Delle Venezie)"
"2519","Champagne Blend",53,"Nicolas Feuillatte","Roger Voss","Nicolas Feuillatte NV Brut Rosé  (Champagne)"
"2520","Zinfandel",43,"Papapietro Perry","Virginie Boone","Papapietro Perry 2014 Zinfandel (Dry Creek Valley)"
"2521","Bordeaux-style White Blend",30,"Château Mont-Pérat","Roger Voss","Château Mont-Pérat 2016  Bordeaux Blanc"
"2522","Rosato",23,"Re Manfredi","Kerin O’Keefe","Re Manfredi 2016 Rosato (Basilicata)"
"2523","Rosato",12,"Taverna","Kerin O’Keefe","Taverna 2016 Maddalena Rosato (Basilicata)"
"2524","Kangoun",14,"Van Ardi","Mike DeSimone","Van Ardi 2015 Estate Bottled Kangoun (Armenia)"
"2525","Loureiro",12,"Wines & Winemakers","Roger Voss","Wines & Winemakers 2016 Maria Bonita Loureiro (Vinho Verde)"
"2526","Rhône-style Red Blend",28,"Le Casque","Jim Gordon","Le Casque 2014 Adrian Red (Sierra Foothills)"
"2527","Cabernet Franc",22,"Minkov Brothers","Jeff Jenssen","Minkov Brothers 2014 Le Photographe Cabernet Franc (Thracian Valley)"
"2528","Cabernet Sauvignon",44,"Mount Veeder","Virginie Boone","Mount Veeder 2014 Cabernet Sauvignon (Napa Valley)"
"2529","Shiraz",80,"Errazuriz","Michael Schachner","Errazuriz 2006 La Cumbre Shiraz (Aconcagua Valley)"
"2530","Bordeaux-style White Blend",23,"Château Thieuley","Roger Voss","Château Thieuley 2007 Cuvée Francis Courselle  (Bordeaux Blanc)"
"2531","Riesling",57,"Joh. Jos. Prüm","Anna Lee C. Iijima","Joh. Jos. Prüm 2011 Wehlener Sonnenuhr Auslese Riesling (Mosel)"
"2532","Riesling",71,"Rheingraf","Anna Lee C. Iijima","Rheingraf 2011 Scharlachberg Bingen GG Erste Lage Trocken Riesling (Rheinhessen)"
"2533","Champagne Blend",275,"J. Dumangin Fils","Roger Voss","J. Dumangin Fils 1996 Vinothèque Premier Cru Brut  (Champagne)"
"2534","Tempranillo",90,"Jarvis","Unknown","Jarvis 2011 Estate Grown Cave Fermented Tempranillo (Napa Valley)"
"2535","Riesling",70,"Stratus","Sean P. Sullivan","Stratus 2008 Icewine Riesling (Niagara Peninsula)"
"2536","Vidal Blanc",77,"Inniskillin","Sean P. Sullivan","Inniskillin 2007 Gold Icewine Vidal Blanc (Niagara Peninsula)"
"2537","Verdicchio",12,"Fattoria Laila","Kerin O’Keefe","Fattoria Laila 2012  Verdicchio dei Castelli di Jesi"
"2538","Verdicchio",16,"Marchetti","Kerin O’Keefe","Marchetti 2012 Tenuta del Cavaliere  (Verdicchio dei Castelli di Jesi Classico Superiore)"
"2539","Verdicchio",22,"Accadia","Kerin O’Keefe","Accadia 2011 Cantorì  (Verdicchio dei Castelli di Jesi Classico Superiore)"
"2540","St. Laurent",NA,"Birgit Braunstein","Anne Krebiehl MW","Birgit Braunstein 2011 Goldberg St. Laurent (Burgenland)"
"2541","Pinot Gris",48,"Cave de Kientzheim-Kaysersberg","Roger Voss","Cave de Kientzheim-Kaysersberg 2009 Late Harvest Pinot Gris (Alsace)"
"2542","Pecorino",17,"Colli Ripani","Kerin O’Keefe","Colli Ripani 2012 Rugaro Gold  (Offida Pecorino)"
"2543","Posip",24,"Korta Katarina","Anna Lee C. Iijima","Korta Katarina 2008 Posip (Korčula)"
"2544","Chardonnay",76,"Ram's Gate","Virginie Boone","Ram's Gate 2014 Estate Chardonnay (Carneros)"
"2545","Rhône-style Red Blend",91,"Tardieu-Laurent","Joe Czerwinski","Tardieu-Laurent 2013 Vieilles Vignes Red (Châteauneuf-du-Pape)"
"2546","Grüner Veltliner",45,"Türk","Anne Krebiehl MW","Türk 2015 Frechau Reserve Grüner Veltliner (Kremstal)"
"2547","Bordeaux-style Red Blend",100,"Ziata","Virginie Boone","Ziata 2013 Mia Madre Red (Napa Valley)"
"2548","Grüner Veltliner",28,"Brandl","Anne Krebiehl MW","Brandl 2015 Lamm Reserve Grüner Veltliner (Kamptal)"
"2549","Riesling",49,"Jäger","Anne Krebiehl MW","Jäger 2015 Achleiten Smaragd Riesling (Wachau)"
"2550","Riesling",50,"Jäger","Anne Krebiehl MW","Jäger 2015 Steinriegl Smaragd Riesling (Wachau)"
"2551","Sangiovese",58,"Fattoria La Lecciaia","Kerin O’Keefe","Fattoria La Lecciaia 2010 Riserva  (Brunello di Montalcino)"
"2552","Grüner Veltliner",34,"R&A; Pfaffl","Anne Krebiehl MW","R&A; Pfaffl 2015 Hundsleiten Reserve Grüner Veltliner (Weinviertel)"
"2553","Petite Sirah",115,"Stags' Leap Winery","Virginie Boone","Stags' Leap Winery 2013 Ne Cede Malis Estate Grown Petite Sirah (Stags Leap District)"
"2554","Red Blend",160,"Tenuta di Biserno","Kerin O’Keefe","Tenuta di Biserno 2012 Biserno Red (Toscana)"
"2555","Pinot Gris",22,"Thirty-Seven Wines","Virginie Boone","Thirty-Seven Wines 2015 Pinot Gris (Sonoma Coast)"
"2556","Petite Sirah",41,"Mauritson","Virginie Boone","Mauritson 2013 Madrone Spring Vineyard Petite Sirah (Rockpile)"
"2557","Roussanne",24,"Bergevin Lane","Paul Gregutt","Bergevin Lane 2012 Dreamweaver Roussanne (Columbia Valley (WA))"
"2558","Verdicchio",23,"Conti di Buscareto","Kerin O’Keefe","Conti di Buscareto 2008 Ammazzaconte  (Verdicchio dei Castelli di Jesi)"
"2559","Pinot Blanc",23,"Domaine Pfister","Roger Voss","Domaine Pfister 2011 Pinot Blanc (Alsace)"
"2560","Mondeuse",30,"Plaisance Ranch","Paul Gregutt","Plaisance Ranch 2014 Papa Joe's Private Stash Mondeuse (Applegate Valley)"
"2561","Grenache",18,"Broken Earth","Matt Kettmann","Broken Earth 2015 Rose of Grenache (Paso Robles)"
"2562","Albana",25,"La Sabbiona","Kerin O’Keefe","La Sabbiona 2015 Alba della Torre Secco Albana (Romagna)"
"2563","Graciano",75,"Livius","Michael Schachner","Livius 2009  Rioja"
"2564","Vernaccia",26,"Panizzi","Kerin O’Keefe","Panizzi 2014 Vigna Santa Margherita  (Vernaccia di San Gimignano)"
"2565","Verdicchio",14,"Vigna degli Estensi","Kerin O’Keefe","Vigna degli Estensi 2013 Soteria  (Verdicchio dei Castelli di Jesi)"
"2566","Alsace white blend",33,"Cave de Ribeauvillé","Anne Krebiehl MW","Cave de Ribeauvillé 2012 Clos du Zahnacker White (Alsace)"
"2567","Chardonnay",148,"Chanson Père et Fils","Roger Voss","Chanson Père et Fils 2013 Charmes Premier Cru  (Meursault)"
"2568","Alsace white blend",60,"Maurice Schoech & Fils","Anne Krebiehl MW","Maurice Schoech & Fils 2012 Harmonie R White (Alsace)"
"2569","Zibibbo",45,"Donnafugata","Kerin O’Keefe","Donnafugata 2013  Passito di Pantelleria"
"2570","Tinta de Toro",40,"Elias Mora","Michael Schachner","Elias Mora 2012 Crianza  (Toro)"
"2571","Cabernet Blend",95,"Errazuriz","Michael Schachner","Errazuriz 2013 Don Maximiano Founder's Reserve Red (Aconcagua Valley)"
"2572","Red Blend",450,"Vega Sicilia","Michael Schachner","Vega Sicilia 2007 Unico  (Ribera del Duero)"
"2573","Viognier",36,"Sanford","Matt Kettmann","Sanford 2013 Sanford & Benedict Vineyard Viognier (Sta. Rita Hills)"
"2574","Mourvèdre",40,"Tablas Creek","Matt Kettmann","Tablas Creek 2013 Mourvèdre (Adelaida District)"
"2575","Tempranillo Blend",31,"Covila","Michael Schachner","Covila 2010 Pagos de Labarca  (Rioja)"
"2576","Cabernet Franc",84,"Cairdean Estate","Virginie Boone","Cairdean Estate 2011 Acquaintance Vineyard Cabernet Franc (Coombsville)"
"2577","Port",16,"St. Julian","Alexander Peartree","St. Julian NV Cathermsn's Port (Lake Michigan Shore)"
"2578","Cabernet Merlot",20,"Mackinaw Trail","Alexander Peartree","Mackinaw Trail 2012 Cabernet Merlot (Michigan)"
"2579","Champagne Blend",18,"Indomita","Michael Schachner","Indomita NV Brut  (Casablanca Valley)"
"2580","Chardonnay",5,"Earth's Harvest","Jim Gordon","Earth's Harvest 2014 Organic Grapes Chardonnay (California)"
"2581","Petite Verdot",35,"Kunde","Unknown","Kunde 2009 Limited Selection Petite Verdot (Sonoma Valley)"
"2582","Syrah",90,"E. Guigal","Joe Czerwinski","E. Guigal 2006  Hermitage"
"2583","Portuguese Red",29,"Caves Aliança","Roger Voss","Caves Aliança 2007 Quinta das Baceladas Red (Bairrada)"
"2584","Moscatel",28,"Ochoa","Michael Schachner","Ochoa 2010 Vino Dulce Moscatel (Navarra)"
"2585","Red Blend",57,"Lungarotti","Unknown","Lungarotti 2007 Rubesco Riserva Vigna Monticchio Red (Torgiano)"
"2586","Sparkling Blend",26,"Raventós I Blanc","Michael Schachner","Raventós I Blanc 2009 de Nit Sparkling (Cava)"
"2587","Gewürztraminer",28,"Domaine Zind-Humbrecht","Roger Voss","Domaine Zind-Humbrecht 2009 Gewürztraminer (Alsace)"
"2588","Corvina, Rondinella, Molinara",75,"Gino Fasoli","Unknown","Gino Fasoli 2006 Corte del Pozzo  (Amarone della Valpolicella)"
"2589","Rhône-style White Blend",13,"Les Deux Rives","Lauren Buzzeo","Les Deux Rives 2009 Blanc White (Corbières)"
"2590","Alvarinho",15,"Bacalhôa Wines of Portugal","Roger Voss","Bacalhôa Wines of Portugal 2008 Quinta dos Loridos Branco Alvarinho (Lisboa)"
"2591","Sparkling Blend",9,"Freixenet","Michael Schachner","Freixenet NV Carta Nevada Brut Sparkling (Cava)"
"2592","Gamay",27,"Jean-Paul Brun","Roger Voss","Jean-Paul Brun 2015 Pisse Vieille  (Brouilly)"
"2593","Trebbiano",20,"Pieve de' Pitti","Kerin O’Keefe","Pieve de' Pitti 2013 Tribiana Trebbiano (Toscana)"
"2594","Sauvignon Gris",15,"Cousiño-Macul","Michael Schachner","Cousiño-Macul 2015 Isidora Sauvignon Gris (Maule Valley)"
"2595","Grüner Veltliner",51,"Salomon-Undhof","Anne Krebiehl MW","Salomon-Undhof 2015 Lindberg Reserve Grüner Veltliner (Kremstal)"
"2596","Gamay",32,"Jean-Paul Brun","Roger Voss","Jean-Paul Brun 2015 Terres Dorées Grille-Midi  (Fleurie)"
"2597","Sangiovese",120,"Fontodi","Kerin O’Keefe","Fontodi 2013 Flaccianello della Pieve Sangiovese (Colli della Toscana Centrale)"
"2598","Malvasia Bianca",28,"I Veroni","Unknown","I Veroni 1999  Vin Santo del Chianti Rufina"
"2599","Pinotage",18,"Robertson Winery","Susan Kostrzewa","Robertson Winery 2006 Phanto Ridge Limited Release Pinotage (Robertson)"
"2600","Carmenère",39,"DiStefano","Sean P. Sullivan","DiStefano 2013 Carmenère (Columbia Valley (WA))"
"2601","Mondeuse",19,"Domaine de l'Idylle","Roger Voss","Domaine de l'Idylle 2016 Mondeuse (Savoie)"
"2602","Alvarinho",25,"J. Portugal Ramos","Roger Voss","J. Portugal Ramos 2014 Reserva Bruto Natural Alvarinho (Vinho Verde)"
"2603","Sparkling Blend",38,"Mumm Napa","Unknown","Mumm Napa 2008 Blanc de Blancs Sparkling (Napa Valley)"
"2604","Gewürztraminer",43,"Leon Beyer","Roger Voss","Leon Beyer 2007 Cuvée des Comtes d'Eguisheim Gewurztraminer (Alsace)"
"2605","Friulano",30,"Mario Schiopetto","Kerin O’Keefe","Mario Schiopetto 2011 Friulano (Collio)"
"2606","Petite Sirah",19,"Nine North Wine Company","Virginie Boone","Nine North Wine Company 2010 Seven Sinners Petite Sirah (Lodi)"
"2607","Malbec",58,"Tenor","Sean P. Sullivan","Tenor 2013 Malbec (Columbia Valley (WA))"
"2608","Mencía",NA,"Vega Montán","Michael Schachner","Vega Montán 2012 Adriá Mencía (Bierzo)"
"2609","Aglianico",41,"Cantina del Taburno","Unknown","Cantina del Taburno 2004 Delius  (Aglianico del Taburno)"
"2610","Uva di Troia",27,"Agrinatura","Unknown","Agrinatura 2005 Giancarlo Ceci Parco Marano Uva di Troia (Castel del Monte)"
"2611","Uva di Troia",44,"Santa Lucia","Unknown","Santa Lucia 2004 Riserva Le More Uva di Troia (Castel del Monte)"
"2612","Spätburgunder",104,"Huber","Joe Czerwinski","Huber 2005 Hecklinger Schlossberg R Trocken Spätburgunder (Baden)"
"2613","Aglianico",17,"Di Majo Norante","Unknown","Di Majo Norante 2005 Contado Aglianico (Molise)"
"2614","Albana",14,"Tre Monti","Unknown","Tre Monti 2011 Vigna Rocca  (Albana di Romagna)"
"2615","Petit Verdot",28,"Yorkville Cellars","Virginie Boone","Yorkville Cellars 2009 Randle Hill Vineyard Petit Verdot (Yorkville Highlands)"
"2616","Sangiovese",14,"Tenuta Amalia","Unknown","Tenuta Amalia 2010 Bio-571  (Sangiovese di Romagna)"
"2617","Merlot-Malbec",85,"Chalk Hill","Unknown","Chalk Hill 2009 Merlot-Malbec (Chalk Hill)"
"2618","Sangiovese",24,"Eberle","Unknown","Eberle 2009 Hidden Valley Vineyard 51%, Wine Bush Vineyard 36%, Filipponi & Thompson Vineyard 13% Sangiovese (Paso Robles)"
"2619","Champagne Blend",29,"Sparkling Pointe","Anna Lee C. Iijima","Sparkling Pointe 2010 Brut  (North Fork of Long Island)"
"2620","Pinot Noir",61,"Testarossa","Matt Kettmann","Testarossa 2012 La Encantada Vineyard Pinot Noir (Sta. Rita Hills)"
"2621","Nebbiolo",12,"Veglio","Kerin O’Keefe","Veglio 2012  Nebbiolo d'Alba"
"2622","Tannat",28,"Château d'Aydie","Roger Voss","Château d'Aydie 2011 Maydie Vintage Tannat (Vin de Liqueur)"
"2623","Gros and Petit Manseng",18,"Domaine Cauhapé","Roger Voss","Domaine Cauhapé 2012 Ballet d'Octobre  (Jurançon)"
"2624","Rhône-style White Blend",14,"Domaine de la Petite Cassagne","Joe Czerwinski","Domaine de la Petite Cassagne 2012 White (Costières de Nîmes)"
"2625","Jacquère",16,"Domaine de l'Idylle","Roger Voss","Domaine de l'Idylle 2013 Vielle Vigne d'Idylle Jacquère (Vin de Savoie)"
"2626","Sparkling Blend",29,"Graf Hardegg","Anne Krebiehl MW","Graf Hardegg 2010 Brut Sparkling (Österreichischer Sekt)"
"2627","Nerello Mascalese",20,"Graci","Kerin O’Keefe","Graci 2013 Rosato Nerello Mascalese (Etna)"
"2628","Aglianico",45,"Pietracupa","Kerin O’Keefe","Pietracupa 2010  Taurasi"
"2629","Tempranillo Blend",95,"Pujanza","Michael Schachner","Pujanza 2010 Norte  (Rioja)"
"2630","Kalecik Karasi",18,"Sevilen","Mike DeSimone","Sevilen 2011 Denizli-Güney Plateau Kalecik Karasi (Aegean)"
"2631","Karasakiz",15,"Suvla","Mike DeSimone","Suvla 2012 Karasakiz (Thrace)"
"2632","Xinomavro",19,"Tsantali","Susan Kostrzewa","Tsantali 2006 Reserve Xinomavro (Naoussa)"
"2633","Pinot Noir",148,"Jean-Luc and Paul Aegerter","Roger Voss","Jean-Luc and Paul Aegerter 2010 Les Vaucrains Premier Cru  (Nuits-St.-Georges)"
"2634","Cabernet Franc-Merlot",36,"Leoness","Matt Kettmann","Leoness 2011 Cabernet Franc-Merlot (Temecula Valley)"
"2635","Rhône-style Red Blend",14,"Louis Bernard","Joe Czerwinski","Louis Bernard 2012 Domaine le Garrigon Cuvée des Vieux Truffiers Red (Côtes du Rhône)"
"2636","Sangiovese",53,"San Filippo","Kerin O’Keefe","San Filippo 2009 Le Lucere  (Brunello di Montalcino)"
"2637","Arneis",22,"Mauro Sebaste","Kerin O’Keefe","Mauro Sebaste 2012  Roero"
"2638","Mourvèdre-Syrah",38,"Merry Cellars","Paul Gregutt","Merry Cellars 2011 Stillwater Creek Vineyard Mourvèdre-Syrah (Columbia Valley (WA))"
"2639","Nebbiolo",19,"Pasquale Pelissero","Kerin O’Keefe","Pasquale Pelissero 2012 Crosè' Nebbiolo (Langhe)"
"2640","Bordeaux-style White Blend",16,"Château Ducasse","Roger Voss","Château Ducasse 2012  Bordeaux Blanc"
"2641","Rhône-style Red Blend",49,"Brecon Estate","Matt Kettmann","Brecon Estate 2015 Forty Two Red (Adelaida District)"
"2642","Nebbiolo",270,"Ceretto","Kerin O’Keefe","Ceretto 2013 Bricco Rocche  (Barolo)"
"2643","Nebbiolo",130,"Ceretto","Kerin O’Keefe","Ceretto 2013 Brunate  (Barolo)"
