"","variety","winery","region_1","region_2","province","designation","country"
"4232","Malbec-Cabernet Sauvignon","ZaHa","Mendoza","","Mendoza Province","Red Blend","Argentina"
"4233","Cabernet Sauvignon","Hubert Weber","Mendoza","","Mendoza Province","Cellar Selection","Argentina"
"4234","Bordeaux-style Red Blend","Château Andron Blanquet","Saint-Estèphe","","Bordeaux","","France"
"4235","Bordeaux-style Red Blend","Château Charmail","Haut-Médoc","","Bordeaux","","France"
"4236","Bordeaux-style Red Blend","Château Grand Bertin de Saint Clair","Médoc","","Bordeaux","","France"
"4237","Bordeaux-style Red Blend","Château la Patache","Pomerol","","Bordeaux","","France"
"4238","Bordeaux-style Red Blend","Château Lestage Simon","Haut-Médoc","","Bordeaux","","France"
"4239","Melon","Louis Métaireau","Muscadet Sèvre et Maine","","Loire Valley","Grand Mouton","France"
"4240","Petite Sirah","Dancing Coyote","Clarksburg","Central Valley","California","","US"
"4241","Pinot Noir","Chamonix","","","Franschhoek","Reserve","South Africa"
"4242","Pinot Noir","Hamilton Russell","","","Walker Bay","","South Africa"
"4243","White Blend","Bastianich","Venezia Giulia","","Northeastern Italy","Vespa","Italy"
"4244","Chenin Blanc","Clos Triguedina","Vin de Pays du Comté Tolosan","","Southwest France","Le Moelleux du Clos","France"
"4245","Viognier","Oak Grove","California","California Other","California","Reserve","US"
"4246","Tempranillo Blend","Pago de los Capellanes","Ribera del Duero","","Northern Spain","Crianza","Spain"
"4247","Chardonnay","Phelps Creek","Columbia Gorge (OR)","Oregon Other","Oregon","Celilo Vineyard","US"
"4248","Red Blend","Producteurs Plaimont","Madiran","","Southwest France","Château de Crouseilles","France"
"4249","Rhône-style Red Blend","Black Rock","","","Swartland","Red Blend","South Africa"
"4250","Verdejo","Bodegas Vidal Soblechero","Rueda","","Northern Spain","Viña Clavidor Cepas Viejas","Spain"
"4251","Sangiovese Grosso","Pieve Santa Restituta","Brunello di Montalcino","","Tuscany","Sugarille","Italy"
"4252","Pinot Noir","Hawley","Russian River Valley","Sonoma","California","Estines Vineyard","US"
"4253","Sangiovese Grosso","San Filippo di Giannelli","Brunello di Montalcino","","Tuscany","","Italy"
"4254","Red Blend","Smashberry","Central Coast","Central Coast","California","","US"
"4255","Sangiovese Grosso","Terre Nere di Campigli - Vallone","Brunello di Montalcino","","Tuscany","","Italy"
"4256","Rosé","3 Horse Ranch Vineyards","","","Idaho","Reserve","US"
"4257","Tempranillo-Cabernet Sauvignon","Baron De Ley","Rioja","","Northern Spain","Finca Monasterio","Spain"
"4258","Cabernet Sauvignon-Tempranillo","Bodega Otto Bestué","Somontano","","Northern Spain","Finca Santa Sabina","Spain"
"4259","Bordeaux-style Red Blend","Château Baracan","Cadillac Côtes de Bordeaux","","Bordeaux","","France"
"4260","Bordeaux-style Red Blend","Château Carignan","Cadillac Côtes de Bordeaux","","Bordeaux","","France"
"4261","Bordeaux-style Red Blend","Château Suau","Cadillac Côtes de Bordeaux","","Bordeaux","","France"
"4262","Red Blend","PasoPort","Paso Robles","Central Coast","California","Vinho Tinto","US"
"4263","Pinot Noir","Peter Cellars","Carneros","Napa-Sonoma","California","Estate","US"
"4264","Red Blend","Sawtooth","","","Idaho","Skyline","US"
"4265","Pinot Noir","Seagrape","Sta. Rita Hills","Central Coast","California","Jump Up","US"
"4266","Sangiovese Grosso","Le Chiuse","Brunello di Montalcino","","Tuscany","Riserva","Italy"
"4267","Pinot Noir","Londer","Anderson Valley","","California","Paraboll","US"
"4268","Tempranillo Blend","Montevannos","Ribera del Duero","","Northern Spain","Crianza","Spain"
"4269","Chardonnay","Pannier","Champagne","","Champagne","Blanc de Blancs Brut","France"
"4270","Godello","Avanthia","Valdeorras","","Northern Spain","","Spain"
"4271","Sangiovese Grosso","Casanuova delle Cerbaie","Brunello di Montalcino","","Tuscany","","Italy"
"4272","Sangiovese Grosso","Casato1","Brunello di Montalcino","","Tuscany","Voliero","Italy"
"4273","Sangiovese Grosso","Castiglion del Bosco","Brunello di Montalcino","","Tuscany","Campo del Drago","Italy"
"4274","Sangiovese Grosso","Cava d'Onice","Brunello di Montalcino","","Tuscany","","Italy"
"4275","Tempranillo","Viñas del Cenit","Tierra del Viños de Zamora","","Northern Spain","Via Cenit","Spain"
"4276","Champagne Blend","Yann Alexandre","Champagne","","Champagne","Millésime Premier Cru Extra Brut","France"
"4277","Chardonnay","Domaine Chandon","Carneros","Napa-Sonoma","California","","US"
"4278","Sangiovese Grosso","Fossacolle","Brunello di Montalcino","","Tuscany","","Italy"
"4279","Sangiovese Grosso","Gianni Brunelli","Brunello di Montalcino","","Tuscany","Le Chiuse di Sotto","Italy"
"4280","Sangiovese Grosso","Altesino","Brunello di Montalcino","","Tuscany","","Italy"
"4281","Riesling","Anthony Road","Finger Lakes","Finger Lakes","New York","Martini Reinhardt Selection","US"
"4282","Bordeaux-style Red Blend","Château Manon la Lagune","Blaye Côtes de Bordeaux","","Bordeaux","","France"
"4283","Sangiovese Grosso","Il Marroneto","Brunello di Montalcino","","Tuscany","Selezione Madonna delle Grazie","Italy"
"4284","Champagne Blend","Baron Albert","Champagne","","Champagne","L'Universelle Brut","France"
"4285","Cabernet Franc","Bressia","Mendoza","","Mendoza Province","Monteagrelo","Argentina"
"4286","Glera","Terre di San Venanzio Fortunato","Valdobbiadene Prosecco Superiore","","Veneto","Extra Dry","Italy"
"4287","Champagne Blend","Canard-Duchêne","Champagne","","Champagne","Charles VII Grande Cuvée des Lys Blanc de Noirs Brut","France"
"4288","Sparkling Blend","Cave de Turckheim","Crémant d'Alsace","","Alsace","Mayerling Brut Rosé","France"
"4289","Cabernet Franc","Cave Spring","Niagara Escarpment","","Ontario","","Canada"
"4290","Torrontés","Colomé","Salta","","Other","Estate","Argentina"
"4291","Riesling","Dr. Leimbrock","","","Mosel","Graacher Himmelreich Kabinett Feinherb","Germany"
"4292","Chardonnay","Emile Leclère","Champagne","","Champagne","Blanc de Blancs Brut","France"
"4293","Sparkling Blend","Fuchs und Hase","","","Weinland Österreich","Pet Nat Vol. 5","Austria"
"4294","Sauvignon Blanc","Goose Bay","","","South Island","Kosher","New Zealand"
"4295","Red Blend","Inurrieta","Navarra","","Northern Spain","Cuatrocientos Crianza","Spain"
"4296","Champagne Blend","Legras & Haas","Champagne","","Champagne","Tradition Brut","France"
"4297","Pinot Noir","Misty Cove","","","Marlborough","","New Zealand"
"4298","Pinot Blanc","St. Innocent","Willamette Valley","Willamette Valley","Oregon","Freedom Hill Vineyard","US"
"4299","Riesling","Studert-Prüm","","","Mosel","Bernkasteler Badstube Kabinett","Germany"
"4300","Pinot Bianco","Ca'Ronesca","Collio","","Northeastern Italy","","Italy"
"4301","Friulano","Castello di Buttrio","Friuli Colli Orientali","","Northeastern Italy","","Italy"
"4302","Malbec","Mogollon","Uco Valley","","Mendoza Province","","Argentina"
"4303","Riesling","Von Der Leyen","","","Nahe","","Germany"
"4304","Cabernet Franc","Griffin Creek","Rogue Valley","Southern Oregon","Oregon","","US"
"4305","Ribolla Gialla","Dorigo","Friuli Colli Orientali","","Northeastern Italy","","Italy"
"4306","Sauvignon","Erste Neue","Alto Adige","","Northeastern Italy","Classic","Italy"
"4307","White Blend","Fiegl","Collio","","Northeastern Italy","Leopold","Italy"
"4308","Friulano","Fruscalzo","Collio","","Northeastern Italy","","Italy"
"4309","Pinot Noir","Gooseneck","Oregon","Oregon Other","Oregon","","US"
"4310","Malbec","Domaine Le Billoud","Mendoza","","Mendoza Province","Familia Giraud Billoud","Argentina"
"4311","Kerner","Meran","Alto Adige","","Northeastern Italy","Graf von Meran","Italy"
"4312","Cabernet Sauvignon","Nathaniel Rose","Lake Michigan Shore","","Michigan","Left Bank Abigail's Vineyard Domaine Barrien","US"
"4313","Sauvignon","Petrucco","Friuli Colli Orientali","","Northeastern Italy","","Italy"
"4314","Riesling","Pflücken","","","Mosel","Semidry","Germany"
"4315","Pinot Grigio","Kris","Delle Venezie","","Northeastern Italy","","Italy"
"4316","Melon","Domaine de l'Ecu","Muscadet Sèvre et Maine","","Loire Valley","Granite","France"
"4317","Pinot Noir","Flowers","Sonoma Coast","Sonoma","California","Camp Meeting Ridge Estate Vineyard","US"
"4318","Pinot Noir","Au Bon Climat","Santa Maria Valley","Central Coast","California","Knox Alexander","US"
"4319","Melon","Bonnet-Huteau","Muscadet Sèvre et Maine","","Loire Valley","Goulaine Vieilles Vignes","France"
"4320","Chardonnay","Brewer-Clifton","Sta. Rita Hills","Central Coast","California","Machado","US"
"4321","Cabernet Sauvignon","Ad Vivum","Yountville","Napa","California","Sleeping Lady Vineyard","US"
"4322","Pinot Noir","Senses","Sonoma Coast","Sonoma","California","","US"
"4323","Alicante Bouschet","Herdade das Servas","","","Alentejano","Reserva","Portugal"
"4324","Bordeaux-style Red Blend","Château de Bel-Air","Lalande de Pomerol","","Bordeaux","","France"
"4325","Shiraz","Mitchelton","Central Victoria","","Victoria","Print","Australia"
"4326","Riesling","Müller-Catoir","","","Pfalz","Haardt Trocken","Germany"
"4327","Riesling","Pfeffingen","","","Pfalz","Dry","Germany"
"4328","Riesling","J.L. Wolf","","","Pfalz","Wachenheimer Belz Spätlese","Germany"
"4329","Riesling","Ökonomierat Rebholz","","","Pfalz","Von Rotliegenden Spätlese","Germany"
"4330","Bordeaux-style Red Blend","Château Franc-Cardinal","Bordeaux Côtes de Francs","","Bordeaux","","France"
"4331","Bordeaux-style Red Blend","Château Haut Beyzac","Haut-Médoc","","Bordeaux","I Second Haut Beyzac","France"
"4332","Sangiovese","Vèscine","Chianti Classico","","Tuscany","Lodolaio Riserva","Italy"
"4333","Sauvignon Blanc","Séamus Wines","Russian River Valley","Sonoma","California","Shannon Wood Vineyard","US"
"4334","Red Blend","Tenuta Casaletti","Valpolicella","","Veneto","","Italy"
"4335","Primitivo","Uphill Vineyards","Amador County","Sierra Foothills","California","Estate Grown Rosato di","US"
"4336","Cabernet Franc","Veramar","Shenandoah Valley","","Virginia","JB Winemaker Series","US"
"4337","Red Blend","Viñedo de los Vientos","","","Atlantida","Eolo Gran Reserva","Uruguay"
"4338","Rosé","Vini","","","Thracian Valley","Veni Vidi Vici","Bulgaria"
"4339","Portuguese White","Adega Vila Real","","","Douro","Premium","Portugal"
"4340","Sauvignon Blanc","Agustinos","","","Bío Bío Valley","Reserva","Chile"
"4341","Cabernet Sauvignon","Arbor Bench Vineyards","Dry Creek Valley","Sonoma","California","Estate","US"
"4342","Bordeaux-style White Blend","Château Gardut Haut Cluzeau","Blaye Côtes de Bordeaux","","Bordeaux","","France"
"4343","Bordeaux-style White Blend","Château La Fleur Ribeyrolles","Entre-Deux-Mers","","Bordeaux","","France"
"4344","Sauvignon Blanc-Semillon","Clairault","Margaret River","","Western Australia","","Australia"
"4345","Red Blend","Delibori","Bardolino Classico","","Veneto","","Italy"
"4346","Chardonnay","Feist","California","California Other","California","","US"
"4347","Shiraz","Hardys","South Eastern Australia","","Australia Other","Stamp of Australia","Australia"
"4348","Pinot Noir","Karah Estate","Sonoma Coast","Sonoma","California","Estate","US"
"4349","Red Blend","Haka by Labyrinth","Paso Robles","Central Coast","California","Freebird","US"
"4350","White Blend","Batič","","","Vipavska Dolina","Angel Grande Cuvée Rezerva","Slovenia"
"4351","Nebbiolo","Borgognot","Barolo","","Piedmont","","Italy"
"4352","Nebbiolo","Ca' del Baio","Langhe","","Piedmont","","Italy"
"4353","Pinot Noir","Charles Sparr","Alsace","","Alsace","Leimengrub","France"
"4354","Rosé","Château la Coste","Coteaux d'Aix-en-Provence","","Provence","Bellugue","France"
"4355","Bordeaux-style Red Blend","Château Lagrave","Saint-Émilion","","Bordeaux","Le Second","France"
"4356","Bordeaux-style Red Blend","Château le Moulin d'Ulysse","Haut-Médoc","","Bordeaux","","France"
"4357","Pinot Gris","Domaine Gérard Neumeyer","Alsace","","Alsace","Le Berger","France"
"4358","Bordeaux-style Red Blend","Château Terrasson","Castillon Côtes de Bordeaux","","Bordeaux","Cuvée Prevenche","France"
"4359","Lambrusco Grasparossa","Cleto Chiarli","Lambrusco Grasparossa di Castelvetro","","Central Italy","Vigneto Cialdini","Italy"
"4360","Cabernet-Syrah","Château de Palayson","Var","","Provence","Grande Cuvée","France"
"4361","Bordeaux-style Red Blend","Château des Matards","Blaye Côtes de Bordeaux","","Bordeaux","Cuvée Nathan","France"
"4362","Pinot Noir","Hugel","Alsace","","Alsace","Jubiléé","France"
"4363","Sparkling Blend","La Montina","Franciacorta","","Lombardy","Millesimato Brut","Italy"
"4364","Chardonnay","La Valle","Franciacorta","","Lombardy","Zerum Riserva Dosaggio Zero","Italy"
"4365","Pinot Noir","Valli","","","Central Otago","Bannockburn Vineyard","New Zealand"
"4366","Cabernet Sauvignon","Brion","Napa Valley","Napa","California","","US"
"4367","Bordeaux-style Red Blend","Craggy Range","","","Hawke's Bay","Sophia Gimblett Gravels","New Zealand"
"4368","Cabernet Sauvignon","Barnett","Spring Mountain District","Napa","California","","US"
"4369","Pinot Noir","Brittan Vineyards","Willamette Valley","Willamette Valley","Oregon","Basalt Block","US"
"4370","Bordeaux-style Red Blend","Château Coutet","Saint-Émilion","","Bordeaux","","France"
"4371","Tinta de Toro","Teso La Monja","Toro","","Northern Spain","Almirez","Spain"
"4372","Chardonnay","Bernier","Val de Loire","","Loire Valley","","France"
"4373","Portuguese White","Campelo","","","Vinho Verde","Casal da Seara","Portugal"
"4374","Cabernet Sauvignon","Ricordi","Mendoza","","Mendoza Province","","Argentina"
"4375","Pinot Noir","Halleck","Russian River Valley","Sonoma","California","Three Sons Cuvee","US"
"4376","Pinot Noir","Henry Estate","Umpqua Valley","Southern Oregon","Oregon","","US"
"4377","Pinot Noir","Ramspur","Carneros","Napa-Sonoma","California","Otton Vineyards","US"
"4378","Sauvignon Blanc-Chardonnay","Aljibes","Vino de la Tierra de Castilla","","Central Spain","VA Viña Aljibes","Spain"
"4379","Malbec","Clément Bosquet","Cahors","","Southwest France","","France"
"4380","Rosé","Domaine d'Arton","Côtes de Gascogne","","Southwest France","Ysé","France"
"4381","Albariño","Castro Martin","Rías Baixas","","Galicia","Family Estate Selection","Spain"
"4382","Albariño","Vieira de Plata","Rías Baixas","","Galicia","","Spain"
"4383","Bordeaux-style White Blend","Château Laulerie","Bergerac Sec","","Southwest France","","France"
"4384","Verdejo","Egeo","Rueda","","Northern Spain","","Spain"
"4385","Barbera","Costa di Bussia","Barbera d'Alba","","Piedmont","Vigna Campo del Gatto","Italy"
"4386","Pinot Noir","Fowles Wine","Victoria","","Victoria","Are You Game?","Australia"
"4387","Merlot","Wente","Livermore Valley","Central Coast","California","Crane Ridge","US"
"4388","Torrontés","Gimenez Riili","La Rioja","","Other","Perpetuum","Argentina"
"4389","Malbec","Achaval-Ferrer","Mendoza","","Mendoza Province","","Argentina"
"4390","Symphony","Baywood","California","California Other","California","Vineyard Select","US"
"4391","Pinot Noir","Louis d'Armont","Bourgogne","","Burgundy","","France"
"4392","Pinot Noir","Giant Steps","Yarra Valley","","Victoria","Sexton Vineyard","Australia"
"4393","Pinot Noir","Verve","Sonoma Coast","Sonoma","California","","US"
"4394","Cabernet Sauvignon","Arns","Napa Valley","Napa","California","Estate Grown","US"
"4395","Primitivo","Jacuzzi","Lake County","","California","Morine Ranch","US"
"4396","Torrontés","Bodega Don Bosco","Maipú","","Mendoza Province","","Argentina"
"4397","Port","Cockburn's","","","Port","Late Bottled Vintage","Portugal"
"4398","Verdejo","Cyatho","Rueda","","Northern Spain","","Spain"
"4399","Glera","De Faveri","Valdobbiadene Prosecco Superiore","","Veneto","GeG","Italy"
"4400","Pinot Noir","Primarius","Oregon","Oregon Other","Oregon","","US"
"4401","Sauvignon Blanc","Simonsig","","","Western Cape","Sunbird","South Africa"
"4402","Glera","Il Follo","Valdobbiadene Prosecco Superiore","","Veneto","Villa Luigia Extra Dry","Italy"
"4403","Glera","La Gioiosa","Valdobbiadene Prosecco Superiore","","Veneto","Extra Dry","Italy"
"4404","Glera","Villa Sandi","Valdobbiadene Prosecco Superiore","","Veneto","Cuvée Oris","Italy"
"4405","Red Blend","Vivanco","Rioja","","Northern Spain","Colección Vivanco 4 Varietales Tempranillo-Graciano-Garnacha-Mazuelo","Spain"
"4406","Sauvignon Blanc","Joullian","Carmel Valley","Central Coast","California","Family Reserve","US"
"4407","Pinot Noir","Hedgeline","Oregon","Oregon Other","Oregon","","US"
"4408","Sauvignon Blanc","Chilcas","","","Casablanca Valley","Reserva","Chile"
"4409","Montepulciano","Ciavolich Giuseppe","Montepulciano d'Abruzzo","","Central Italy","Antrum","Italy"
"4410","Rhône-style Red Blend","Clos des Augustins","Coteaux du Languedoc Pic Saint Loup","","Languedoc-Roussillon","Les Bambins","France"
"4411","Primitivo","Vigne & Vini","Primitivo del Salento","","Southern Italy","Passione","Italy"
"4412","Cabernet Sauvignon","Indigené","Carmel Valley","Central Coast","California","","US"
"4413","Port","Niepoort","","","Port","Tawny","Portugal"
"4414","Pinot Noir","Quails' Gate","Okanagan Valley","","British Columbia","","Canada"
"4415","Cabernet Sauvignon","Altamura","Napa Valley","Napa","California","","US"
"4416","Sauvignon Blanc","Guy Saget","Vin de France","","France Other","La Petite Perrière","France"
"4417","Bordeaux-style Red Blend","Pinanfarina","Napa Valley","Napa","California","Vino Rosso","US"
"4418","Red Blend","Château Musar","","","Bekaa Valley","Cuvée Rouge","Lebanon"
"4419","Sauvignon Blanc","Geyser Peak","California","California Other","California","","US"
"4420","Moscato","Tosti","Moscato d'Asti","","Piedmont","Torlasco","Italy"
"4421","Rosé","Red Guitar","Navarra","","Northern Spain","Old Vine Garnacha","Spain"
"4422","Gewürztraminer","Peter Weber","Alsace","","Alsace","","France"
"4423","Barbera","Gruppo Casaleone","Barbera d'Asti","","Piedmont","Rosa del Marchese","Italy"
"4424","Nebbiolo","Tenimenti Ca' Bianca","Barolo","","Piedmont","","Italy"
"4425","Nebbiolo","Ca'Romè","Barolo","","Piedmont","Vigna Cerretta","Italy"
"4426","Viognier","Fujishin","","","Idaho","Bitner Vineyard","US"
"4427","Sauvignon Blanc","Fire Road","","","Marlborough","","New Zealand"
"4428","Red Blend","Galil Mountain","","","Upper Galilee","Alon","Israel"
"4429","Verdejo","Montespina","Rueda","","Northern Spain","","Spain"
"4430","Merlot","One Woman","North Fork of Long Island","Long Island","New York","Estate Reserve","US"
"4431","Bordeaux-style Red Blend","Vilafonté","","","Paarl","Series M","South Africa"
"4432","Red Blend","Vinyes del Terrer","Tarragona","","Catalonia","Terrer d'Aubert","Spain"
"4433","Rosé","Château Maupague","Côtes de Provence Sainte-Victoire","","Provence","","France"
"4434","Chardonnay","Corley Reserve","Oak Knoll District","Napa","California","Estate Grown","US"
"4435","Pinot Noir","Cult X","Russian River Valley","Sonoma","California","","US"
"4436","Sparkling Blend","Domaine Albert Mann","Crémant d'Alsace","","Alsace","Brut","France"
"4437","Cabernet Sauvignon","Emblem","Napa Valley","Napa","California","","US"
"4438","Sauvignon Blanc","Greywacke","","","Marlborough","","New Zealand"
"4439","Sauvignon Blanc","Domaine Joël Delaunay","","","Loire Valley","La Voûte","France"
"4440","Pinot Noir","Duck Pond","Willamette Valley","Willamette Valley","Oregon","Hylo Vineyard Rosé of","US"
"4441","Pinot Noir","Fairsing","Willamette Valley","","Oregon","Dardis","US"
"4442","Bordeaux-style Red Blend","Finca Agostino","Mendoza","","Mendoza Province","De la Cava","Argentina"
"4443","Zinfandel","Graziano","Mendocino County","","California","Reserve","US"
"4444","Nebbiolo","Olek Bondonio","Barbaresco","","Piedmont","Starderi","Italy"
"4445","Nebbiolo","Salvano","Barbaresco","","Piedmont","","Italy"
"4446","Red Blend","Sidecar","Oregon","Oregon Other","Oregon","G-Force","US"
"4447","Chardonnay","Olabisi","Napa Valley","Napa","California","Chappell Vineyard","US"
"4448","Chardonnay","Romain Bouchard","Chablis","","Burgundy","Le Grand Bois","France"
"4449","Cabernet Sauvignon","Roza Ridge","Rattlesnake Hills","Columbia Valley","Washington","","US"
"4450","Tempranillo","Senda 66","La Mancha","","Central Spain","","Spain"
"4451","Verdejo","Shaya","Rueda","","Northern Spain","Arindo","Spain"
"4452","Corvina, Rondinella, Molinara","Terre di Leone","Valpolicella Classico","","Veneto","Il Re Pazzo","Italy"
"4453","Chardonnay","Thelema","","","Elgin","Sutherland","South Africa"
"4454","Tempranillo","Volteo","Vino de la Tierra de Castilla","","Central Spain","","Spain"
"4455","Sauvignon Blanc","Buitenverwachting","","","Coastal Region","Beyond","South Africa"
"4456","Corvina, Rondinella, Molinara","Ca' Rugate","Valpolicella Superiore Ripasso","","Veneto","","Italy"
"4457","Chardonnay","Denis Dutron","Mâcon-Fuissé","","Burgundy","","France"
"4458","Chardonnay","Domaine Bernard Millot","Bourgogne","","Burgundy","","France"
"4459","Chardonnay","Domaine Jean-Paul et Benoît Droin","Chablis","","Burgundy","","France"
"4460","Red Blend","Maculan","Veneto","","Veneto","Brentino","Italy"
"4461","Mencía","Peza do Rei","Ribeira Sacra","","Galicia","","Spain"
"4462","Chardonnay","Saddleback Cellars","Napa Valley","Napa","California","","US"
"4463","Syrah","Epiphany","Santa Barbara County","Central Coast","California","Colson Canyon Vineyard","US"
"4464","Red Blend","Garcia Schwaderer","","","Itata Valley","Bravado","Chile"
"4465","Pinot Noir","Poiema","Santa Lucia Highlands","Central Coast","California","","US"
"4466","Bordeaux-style Red Blend","Sauska","","","Villány","Cuvée 7","Hungary"
"4467","Syrah","College Cellars","Walla Walla Valley (WA)","Columbia Valley","Washington","Cockburn Ranch Vineyard","US"
"4468","Pinot Noir","Poseidon","Los Carneros","Napa-Sonoma","California","Estate","US"
"4469","Red Blend","Seven Angels","Paso Robles","Central Coast","California","Kindred","US"
"4470","Red Blend","Stapleton & Springer","","","Moravia","Roucí","Czech Republic"
"4471","G-S-M","Standing Sun","Santa Barbara County","Central Coast","California","","US"
"4472","Red Blend","Tenuta San Leonardo","Vigneti delle Dolomiti","","Northeastern Italy","San Leonardo","Italy"
"4473","Malbec","Shannon","Lake County","","California","Home Ranch Reserve","US"
"4474","Bordeaux-style Red Blend","Spoto","Napa Valley","Napa","California","Cuvée Susan Diane Oakville Station","US"
"4475","Fiano","Vigne Guadagno","Fiano di Avellino","","Southern Italy","Contrada Sant'Aniello","Italy"
"4476","Pinot Noir","A.P. Vin","Sonoma Coast","Sonoma","California","Kanzler Vineyard","US"
"4477","Sauvignon Blanc-Semillon","Baily","Temecula Valley","South Coast","California","Montage","US"
"4478","Pinot Grigio","Castelvecchio","","","Northeastern Italy","","Italy"
"4479","Riesling","Cave de Ribeauvillé","Alsace","","Alsace","Collection","France"
"4480","Bordeaux-style White Blend","Château Vircoulon","Bordeaux Blanc","","Bordeaux","","France"
"4481","Pinot Noir","Child's Play","Willamette Valley","Willamette Valley","Oregon","Rosé of","US"
"4482","Gewürztraminer","Domaine Charles Frey","Alsace","","Alsace","Collines de Granit","France"
"4483","Champagne Blend","Domaine du Petit Clocher","Crémant de Loire","","Loire Valley","Brut","France"
"4484","Moscatel","Señorío de Sarria","Navarra","","Northern Spain","Vino Dulce Natural","Spain"
"4485","Chardonnay","Standing Stone","Finger Lakes","Finger Lakes","New York","Reserve","US"
"4486","Sangiovese","Tenuta Sette Ponti","Toscana","","Tuscany","Vigna di Pallino","Italy"
"4487","Tempranillo","Valsanzo","Ribera del Duero","","Northern Spain","Vall Sanzo","Spain"
"4488","Red Blend","La Capilla","Paso Robles","Central Coast","California","Melange","US"
"4489","Albariño","Eleusis","Rías Baixas","","Galicia","","Spain"
"4490","Cabernet Sauvignon","Vina Robles","Paso Robles","Central Coast","California","","US"
"4491","Cabernet Sauvignon","Langtry","Lake County","","California","Tephra Ridge Vineyard","US"
"4492","Grüner Veltliner","Leth","","","Wagram-Donauland","Steinagrund","Austria"
"4493","Albariño","Maior de Mendoza","Rías Baixas","","Galicia","Argos","Spain"
"4494","Sangiovese","Mastrojanni","Brunello di Montalcino","","Tuscany","","Italy"
"4495","Sangiovese","Palazzo","Brunello di Montalcino","","Tuscany","","Italy"
"4496","White Blend","Patterson","Columbia Valley (WA)","Columbia Valley","Washington","Forbidden","US"
"4497","Sangiovese","Pietroso","Brunello di Montalcino","","Tuscany","","Italy"
"4498","Riesling","Radius","Washington","Washington Other","Washington","","US"
"4499","Sangiovese","San Giacomo","Brunello di Montalcino","","Tuscany","","Italy"
"4500","Bordeaux-style Red Blend","Château Bibian","Haut-Médoc","","Bordeaux","","France"
"4501","Bordeaux-style Red Blend","Château de Braude","Haut-Médoc","","Bordeaux","","France"
"4502","Sangiovese","Il Poggiolo","Brunello di Montalcino","","Tuscany","Annata","Italy"
"4503","Sangiovese","La Rasina","Brunello di Montalcino","","Tuscany","","Italy"
"4504","Albariño","Zarate","Rías Baixas","","Galicia","","Spain"
"4505","Sauvignon Blanc","Eleven","Washington","Washington Other","Washington","La Donella","US"
"4506","Bordeaux-style Red Blend","Elsom Cellars","Columbia Valley (WA)","Columbia Valley","Washington","Autonomous","US"
"4507","Rhône-style White Blend","Fayolle Fils & Fille","Hermitage","","Rhône Valley","Les Dionnières","France"
"4508","Chenin Blanc","Jean Daneel","","","Western Cape","Signature","South Africa"
"4509","Chardonnay","La Rochelle","Santa Lucia Highlands","Central Coast","California","Rosella's Vineyard","US"
"4510","Riesling","Kirchmayr","","","Kamptal","Solist","Austria"
"4511","Pinot Noir","Maggy Hawk","Anderson Valley","","California","Unforgettable","US"
"4512","Riesling","Rabl","","","Kamptal","Schenkenbichl Reserve","Austria"
"4513","Rhône-style Red Blend","Domaine du Grand Montmirail","Gigondas","","Rhône Valley","Cuvée Vieilles Vignes","France"
"4514","Red Blend","Agricola Punica","Isola dei Nuraghi","","Sicily & Sardinia","Barrua","Italy"
"4515","Red Blend","Cellers Sant Rafel","Montsant","","Catalonia","Solpost","Spain"
"4516","Zinfandel","XYZin","Russian River Valley","Sonoma","California","","US"
"4517","Bordeaux-style Red Blend","Elements of Sonoma","Knights Valley","Sonoma","California","E3","US"
"4518","Zinfandel","Forchini","Dry Creek Valley","Sonoma","California","Proprietor's Reserve Old Vine","US"
"4519","Chardonnay","Gallo Family Vineyards","Sonoma County","Sonoma","California","","US"
"4520","Riesling","Marc Kreydenweiss","Alsace","","Alsace","Au Dessus de la Loi Andlau","France"
"4521","Madeira Blend","Blandy's","","","Madeira","Duke of Clarence Rich","Portugal"
"4522","Dolcetto","Ca' del Solo","Monterey County","Central Coast","California","","US"
"4523","Pinot Gris","Cloudline","Oregon","Oregon Other","Oregon","","US"
"4524","Cabernet Sauvignon","Trentadue","Alexander Valley","Sonoma","California","Geyserville Estate","US"
"4525","Red Blend","Scala Dei","Priorat","","Catalonia","Negre","Spain"
"4526","Merlot","Plaisir De Merle","","","Paarl","","South Africa"
"4527","Shiraz","Havana Hills","","","Western Cape","","South Africa"
"4528","Shiraz-Cabernet Sauvignon","Mas Nicolas","","","Stellenbosch","Cape","South Africa"
"4529","Cabernet Sauvignon","Mendocino Gold","Mendocino County","","California","","US"
"4530","Syrah","New World","","","Western Cape","","South Africa"
"4531","Shiraz","Niel Joubert","","","Paarl","African Tradition Collection - Elephant","South Africa"
"4532","Chardonnay","Perry Creek","El Dorado County","Sierra Foothills","California","","US"
"4533","Petite Sirah","Imagery","Paso Robles","Central Coast","California","Artist Collection","US"
"4534","Merlot","Redwood","California","California Other","California","","US"
"4535","Red Blend","Bodegas Concavins","Conca de Barberà","","Catalonia","Proyecto 4","Spain"
"4536","Viognier","Wild Pig","Pays d'Oc","","Languedoc-Roussillon","","France"
"4537","Barbera","CarlindePaolo","Barbera d'Asti","","Piedmont","Cursus Vitae","Italy"
"4538","Barbera","Cascina Radice","Barbera d'Asti Superiore","","Piedmont","Roccanera","Italy"
